 67, 41
    0,  34
    24, 69
    58, 78
    64, 62
    45, 5
    27, 81
    91, 61
    43, 11
    36, 27
    4,  91
    53, 2
    82, 92
    16, 21
    95, 18
    26, 47
    38, 71
    12, 69
    99, 67
    94, 35
    11, 3
    33, 22
    64, 73
    11, 41
    68, 53
    44, 47
    51, 18
    59, 37
    41, 23
    78, 29
    35, 16
    42, 90
    6,  88
    42, 40
    48, 64
    5,  46
    29, 90
    50, 70
    1,  6
    48, 93
    23, 29
    54, 84
    40, 56
    76, 66
    8,  31
    39, 44
    23, 26
    38, 37
    82, 18
    45, 29
    15, 33
    58, 39
    30, 4
    6,  77
    86, 73
    45, 21
    72, 24
    29, 70
    73, 77
    12, 97
    90, 86
    36, 61
    67, 55
    74, 55
    52, 31
    50, 50
    24, 41
    30, 66
    91, 7
    37, 7
    87, 57
    83, 53
    9,  45
    58, 9
    88, 21
    46, 22
    30, 6
    68, 13
    91, 0
    55, 62
    59, 10
    37, 24
    83, 48
    41, 95
    50, 2
    36, 91
    20, 74
    21, 96
    99, 48
    84, 68
    34, 81
    99, 53
    38, 18
    88, 0
    67, 27
    93, 28
    83, 48
    21, 7
    17, 10
    14, 13
